r,L,M,S
412,0.0105324,0.0109044,0.288723
412.1,0.0106246,0.0110164,0.291647
412.2,0.0107169,0.0111289,0.294584
412.3,0.0108095,0.011242,0.297534
412.4,0.0109022,0.0113557,0.300495
412.5,0.0109951,0.0114701,0.303468
412.6,0.0110881,0.011585,0.306454
412.7,0.0111813,0.0117006,0.309451
412.8,0.0112747,0.0118167,0.31246
412.9,0.0113682,0.0119335,0.31548
413,0.011462,0.0120509,0.318512
413.1,0.0115559,0.0121688,0.321555
413.2,0.01165,0.0122874,0.324609
413.3,0.0117443,0.0124066,0.327674
413.4,0.0118388,0.0125264,0.330751
413.5,0.0119336,0.0126469,0.333838
413.6,0.0120285,0.0127679,0.336935
413.7,0.0121236,0.0128896,0.340044
413.8,0.012219,0.0130118,0.343163
413.9,0.0123146,0.0131347,0.346292
414,0.0124105,0.0132582,0.349431
414.1,0.0125065,0.0133824,0.352581
414.2,0.0126029,0.0135071,0.35574
414.3,0.0126995,0.0136325,0.35891
414.4,0.0127963,0.0137585,0.362089
414.5,0.0128935,0.0138851,0.365278
414.6,0.0129909,0.0140124,0.368476
414.7,0.0130886,0.0141402,0.371684
414.8,0.0131867,0.0142688,0.374901
414.9,0.013285,0.0143979,0.378128
415,0.0133837,0.0145277,0.381363
415.1,0.0134827,0.0146582,0.384608
415.2,0.013582,0.0147893,0.387861
415.3,0.0136817,0.014921,0.391122
415.4,0.0137816,0.0150533,0.394391
415.5,0.0138819,0.0151862,0.397667
415.6,0.0139824,0.0153198,0.40095
415.7,0.0140832,0.015454,0.40424
415.8,0.0141842,0.0155887,0.407535
415.9,0.0142855,0.0157241,0.410835
416,0.014387,0.01586,0.414141
416.1,0.0144887,0.0159965,0.417451
416.2,0.0145907,0.0161336,0.420765
416.3,0.0146928,0.0162712,0.424082
416.4,0.0147951,0.0164094,0.427402
416.5,0.0148975,0.0165481,0.430724
416.6,0.0150001,0.0166874,0.434048
416.7,0.0151028,0.0168272,0.437373
416.8,0.0152057,0.0169675,0.440699
416.9,0.0153086,0.0171083,0.444025
417,0.0154116,0.0172496,0.44735
417.1,0.0155147,0.0173914,0.450675
417.2,0.0156178,0.0175337,0.453997
417.3,0.015721,0.0176764,0.457317
417.4,0.0158241,0.0178196,0.460634
417.5,0.0159273,0.0179632,0.463948
417.6,0.0160304,0.0181073,0.467257
417.7,0.0161335,0.0182518,0.470562
417.8,0.0162366,0.0183967,0.47386
417.9,0.0163395,0.018542,0.477153
418,0.0164424,0.0186878,0.480439
418.1,0.0165452,0.0188338,0.483717
418.2,0.0166478,0.0189803,0.486987
418.3,0.0167502,0.0191271,0.490249
418.4,0.0168525,0.0192743,0.4935
418.5,0.0169546,0.0194218,0.496741
418.6,0.0170565,0.0195696,0.499971
418.7,0.0171581,0.0197177,0.50319
418.8,0.0172595,0.0198661,0.506396
418.9,0.0173606,0.0200148,0.509588
419,0.0174614,0.0201638,0.512767
419.1,0.0175619,0.020313,0.515931
419.2,0.0176621,0.0204624,0.51908
419.3,0.0177618,0.0206121,0.522212
419.4,0.0178612,0.020762,0.525327
419.5,0.0179602,0.0209121,0.528425
419.6,0.0180587,0.0210623,0.531504
419.7,0.0181568,0.0212127,0.534563
419.8,0.0182544,0.0213633,0.537603
419.9,0.0183515,0.021514,0.540621
420,0.018448,0.0216649,0.543618
420.1,0.018544,0.0218158,0.546593
420.2,0.0186395,0.0219668,0.549545
420.3,0.0187344,0.022118,0.552475
420.4,0.0188289,0.0222693,0.555384
420.5,0.0189228,0.0224207,0.558271
420.6,0.0190162,0.0225723,0.561138
420.7,0.0191091,0.022724,0.563983
420.8,0.0192016,0.0228759,0.566808
420.9,0.0192936,0.0230279,0.569614
421,0.0193852,0.0231801,0.572399
421.1,0.0194764,0.0233325,0.575166
421.2,0.0195672,0.023485,0.577914
421.3,0.0196576,0.0236378,0.580644
421.4,0.0197476,0.0237908,0.583356
421.5,0.0198373,0.023944,0.586051
421.6,0.0199266,0.0240975,0.588729
421.7,0.0200157,0.0242512,0.591391
421.8,0.0201044,0.0244051,0.594037
421.9,0.0201929,0.0245594,0.596668
422,0.0202811,0.0247139,0.599284
422.1,0.0203691,0.0248687,0.601887
422.2,0.0204569,0.0250239,0.604476
422.3,0.0205445,0.0251794,0.607052
422.4,0.020632,0.0253352,0.609617
422.5,0.0207193,0.0254914,0.612169
422.6,0.0208064,0.025648,0.614711
422.7,0.0208935,0.025805,0.617243
422.8,0.0209805,0.0259624,0.619766
422.9,0.0210675,0.0261202,0.62228
423,0.0211545,0.0262785,0.624786
423.1,0.0212414,0.0264372,0.627284
423.2,0.0213284,0.0265965,0.629776
423.3,0.0214154,0.0267562,0.632263
423.4,0.0215026,0.0269165,0.634744
423.5,0.0215898,0.0270773,0.637222
423.6,0.0216772,0.0272387,0.639696
423.7,0.0217647,0.0274007,0.642167
423.8,0.0218525,0.0275633,0.644637
423.9,0.0219404,0.0277266,0.647107
424,0.0220286,0.0278905,0.649576
424.1,0.0221171,0.0280551,0.652046
424.2,0.022206,0.0282204,0.654518
424.3,0.0222951,0.0283864,0.656993
424.4,0.0223847,0.0285532,0.659471
424.5,0.0224746,0.0287208,0.661955
424.6,0.022565,0.0288892,0.664443
424.7,0.0226559,0.0290584,0.666939
424.8,0.0227473,0.0292285,0.669442
424.9,0.0228392,0.0293995,0.671953
425,0.0229317,0.0295714,0.674474
425.1,0.0230249,0.0297443,0.677005
425.2,0.0231186,0.0299182,0.679547
425.3,0.0232129,0.030093,0.682098
425.4,0.0233079,0.0302687,0.684658
425.5,0.0234034,0.0304454,0.687228
425.6,0.0234995,0.0306232,0.689805
425.7,0.0235962,0.0308018,0.69239
425.8,0.0236934,0.0309815,0.694982
425.9,0.0237912,0.0311621,0.697581
426,0.0238896,0.0313438,0.700186
426.1,0.0239885,0.0315264,0.702797
426.2,0.024088,0.03171,0.705413
426.3,0.024188,0.0318946,0.708034
426.4,0.0242886,0.0320802,0.710659
426.5,0.0243897,0.0322668,0.713287
426.6,0.0244913,0.0324545,0.715918
426.7,0.0245934,0.0326431,0.718552
426.8,0.024696,0.0328327,0.721187
426.9,0.024799,0.0330234,0.723823
427,0.0249026,0.0332151,0.72646
427.1,0.0250067,0.0334078,0.729097
427.2,0.0251112,0.0336015,0.731734
427.3,0.0252162,0.0337963,0.734369
427.4,0.0253216,0.0339921,0.737002
427.5,0.0254275,0.034189,0.739633
