r,L,M,S
412.5,0.0128537,0.0133061,0.237646
412.6,0.0129736,0.0134514,0.240201
412.7,0.0130939,0.0135976,0.24277
412.8,0.0132147,0.0137449,0.245354
412.9,0.013336,0.0138932,0.247953
413.0,0.0134578,0.0140425,0.250566
413.1,0.0135801,0.0141929,0.253194
413.2,0.0137028,0.0143443,0.255836
413.3,0.0138261,0.0144968,0.258493
413.4,0.0139499,0.0146503,0.261165
413.5,0.0140743,0.0148049,0.263852
413.6,0.0141992,0.0149606,0.266553
413.7,0.0143246,0.0151174,0.269269
413.8,0.0144506,0.0152753,0.272
413.9,0.0145772,0.0154343,0.274746
414.0,0.0147044,0.0155944,0.277507
414.1,0.0148322,0.0157557,0.280283
414.2,0.0149607,0.0159181,0.283073
414.3,0.0150898,0.0160816,0.285879
414.4,0.0152195,0.0162463,0.288699
414.5,0.01535,0.0164122,0.291535
414.6,0.0154811,0.0165793,0.294386
414.7,0.015613,0.0167475,0.297252
414.8,0.0157455,0.016917,0.300133
414.9,0.0158789,0.0170877,0.303029
415.0,0.016013,0.0172596,0.305941
415.1,0.0161479,0.0174327,0.308868
415.2,0.0162836,0.0176071,0.311811
415.3,0.01642,0.0177828,0.314768
415.4,0.0165572,0.0179596,0.31774
415.5,0.0166952,0.0181377,0.320726
415.6,0.0168339,0.0183171,0.323726
415.7,0.0169733,0.0184977,0.326739
415.8,0.0171134,0.0186794,0.329766
415.9,0.0172543,0.0188625,0.332805
416.0,0.0173958,0.0190467,0.335858
416.1,0.017538,0.0192321,0.338922
416.2,0.0176808,0.0194188,0.341998
416.3,0.0178243,0.0196066,0.345086
416.4,0.0179684,0.0197956,0.348184
416.5,0.0181131,0.0199858,0.351293
416.6,0.0182584,0.0201772,0.354412
416.7,0.0184043,0.0203698,0.357541
416.8,0.0185507,0.0205636,0.360679
416.9,0.0186977,0.0207585,0.363826
417.0,0.0188452,0.0209545,0.366981
417.1,0.0189931,0.0211517,0.370144
417.2,0.0191416,0.02135,0.373314
417.3,0.0192905,0.0215495,0.376491
417.4,0.0194399,0.02175,0.379674
417.5,0.0195896,0.0219517,0.382863
417.6,0.0197398,0.0221545,0.386058
417.7,0.0198904,0.0223583,0.389257
417.8,0.0200412,0.0225633,0.39246
417.9,0.0201925,0.0227693,0.395667
418.0,0.020344,0.0229763,0.398876
418.1,0.0204958,0.0231844,0.402088
418.2,0.0206478,0.0233935,0.405302
418.3,0.0208001,0.0236036,0.408517
418.4,0.0209525,0.0238147,0.411732
418.5,0.0211052,0.0240268,0.414947
418.6,0.021258,0.0242399,0.418162
418.7,0.0214109,0.024454,0.421375
418.8,0.0215639,0.024669,0.424586
418.9,0.0217169,0.0248849,0.427794
419.0,0.02187,0.0251017,0.430998
419.1,0.0220231,0.0253194,0.434199
419.2,0.0221762,0.025538,0.437394
419.3,0.0223291,0.0257575,0.440584
419.4,0.0224821,0.0259778,0.443768
419.5,0.0226348,0.0261989,0.446944
419.6,0.0227875,0.0264209,0.450112
419.7,0.0229399,0.0266436,0.453272
419.8,0.0230921,0.0268671,0.456423
419.9,0.0232441,0.0270913,0.459563
420.0,0.0233957,0.0273163,0.462692
420.1,0.0235471,0.027542,0.46581
420.2,0.0236981,0.0277684,0.468916
420.3,0.0238488,0.0279956,0.47201
420.4,0.0239992,0.0282234,0.475093
420.5,0.0241493,0.028452,0.478164
420.6,0.0242992,0.0286814,0.481225
420.7,0.0244488,0.0289114,0.484274
420.8,0.0245981,0.0291423,0.487312
420.9,0.0247472,0.0293739,0.49034
421.0,0.0248961,0.0296062,0.493357
421.1,0.0250447,0.0298394,0.496364
421.2,0.0251932,0.0300733,0.499361
421.3,0.0253415,0.0303081,0.502348
421.4,0.0254896,0.0305436,0.505325
421.5,0.0256376,0.03078,0.508293
421.6,0.0257855,0.0310172,0.511253
421.7,0.0259333,0.0312552,0.514203
421.8,0.0260809,0.0314941,0.517146
421.9,0.0262285,0.0317339,0.52008
422.0,0.0263761,0.0319746,0.523006
422.1,0.0265236,0.0322161,0.525926
422.2,0.0266712,0.0324586,0.528838
422.3,0.0268187,0.032702,0.531744
422.4,0.0269663,0.0329463,0.534644
422.5,0.027114,0.0331916,0.537538
422.6,0.0272617,0.0334379,0.540427
422.7,0.0274096,0.0336851,0.543311
422.8,0.0275576,0.0339334,0.546191
422.9,0.0277058,0.0341827,0.549067
423.0,0.0278541,0.034433,0.551939
423.1,0.0280027,0.0346844,0.554809
423.2,0.0281516,0.0349369,0.557676
423.3,0.0283007,0.0351905,0.560542
423.4,0.0284502,0.0354452,0.563406
423.5,0.0285999,0.035701,0.56627
423.6,0.0287501,0.0359581,0.569134
423.7,0.0289006,0.0362163,0.571998
423.8,0.0290516,0.0364757,0.574863
423.9,0.0292031,0.0367364,0.57773
424.0,0.0293551,0.0369983,0.580599
424.1,0.0295076,0.0372615,0.583471
424.2,0.0296606,0.037526,0.586347
424.3,0.0298143,0.0377919,0.589227
424.4,0.0299687,0.0380591,0.592112
424.5,0.0301237,0.0383278,0.595003
424.6,0.0302794,0.0385978,0.597901
424.7,0.0304359,0.0388693,0.600805
424.8,0.0305932,0.0391423,0.603718
424.9,0.0307514,0.0394168,0.606639
425.0,0.0309104,0.0396928,0.60957
425.1,0.0310703,0.0399704,0.612511
425.2,0.0312312,0.0402496,0.615462
425.3,0.0313929,0.0405304,0.618421
425.4,0.0315556,0.0408127,0.62139
425.5,0.0317191,0.0410966,0.624367
425.6,0.0318836,0.0413822,0.627352
425.7,0.0320488,0.0416693,0.630344
425.8,0.032215,0.041958,0.633343
425.9,0.032382,0.0422483,0.636349
426.0,0.0325498,0.0425402,0.639359
426.1,0.0327185,0.0428337,0.642375
426.2,0.0328879,0.0431288,0.645396
426.3,0.0330582,0.0434255,0.64842
426.4,0.0332292,0.0437238,0.651448
426.5,0.0334011,0.0440237,0.654479
426.6,0.0335737,0.0443252,0.657512
426.7,0.033747,0.0446283,0.660546
426.8,0.0339211,0.0449331,0.663581
426.9,0.0340959,0.0452394,0.666616
427.0,0.0342714,0.0455474,0.669651
427.1,0.0344476,0.045857,0.672685
427.2,0.0346244,0.0461682,0.675718
427.3,0.034802,0.046481,0.678747
427.4,0.0349802,0.0467954,0.681774
427.5,0.035159,0.0471115,0.684797
427.6,0.0353384,0.0474292,0.687815
427.7,0.0355185,0.0477485,0.690829
427.8,0.0356991,0.0480694,0.693836
427.9,0.0358802,0.0483919,0.696836
428.0,0.036062,0.0487161,0.699829
428.1,0.0362442,0.0490418,0.702814
428.2,0.036427,0.0493692,0.70579
428.3,0.0366103,0.0496983,0.708756
428.4,0.036794,0.0500289,0.711712
428.5,0.0369782,0.0503611,0.714656
428.6,0.0371628,0.050695,0.717588
428.7,0.0373478,0.0510305,0.720507
428.8,0.0375332,0.0513676,0.723412
428.9,0.037719,0.0517063,0.726302
429.0,0.0379052,0.0520467,0.729177
429.1,0.0380917,0.0523886,0.732036
429.2,0.0382785,0.0527322,0.734877
429.3,0.0384655,0.0530773,0.737701
429.4,0.0386529,0.0534241,0.740505
429.5,0.0388404,0.0537725,0.74329
429.6,0.0390282,0.0541225,0.746054
429.7,0.0392162,0.054474,0.748796
429.8,0.0394043,0.0548272,0.751516
429.9,0.0395926,0.055182,0.754213
430.0,0.039781,0.0555384,0.756885
430.1,0.0399695,0.0558964,0.759532
430.2,0.0401581,0.0562559,0.762154
430.3,0.0403467,0.056617,0.764752
430.4,0.0405355,0.0569797,0.767325
430.5,0.0407244,0.0573439,0.769876
430.6,0.0409134,0.0577096,0.772403
430.7,0.0411025,0.0580769,0.774908
430.8,0.0412917,0.0584456,0.777391
430.9,0.041481,0.0588159,0.779852
431.0,0.0416705,0.0591876,0.782292
431.1,0.0418601,0.0595608,0.784712
431.2,0.0420498,0.0599354,0.787112
431.3,0.0422396,0.0603114,0.789493
431.4,0.0424296,0.0606888,0.791855
431.5,0.0426198,0.0610676,0.794199
431.6,0.0428101,0.0614478,0.796525
431.7,0.0430005,0.0618294,0.798834
431.8,0.0431911,0.0622122,0.801127
431.9,0.0433819,0.0625964,0.803404
432.0,0.0435728,0.0629819,0.805666
432.1,0.0437639,0.0633686,0.807914
432.2,0.0439553,0.0637566,0.810147
432.3,0.0441468,0.0641459,0.812368
432.4,0.0443385,0.0645363,0.814576
432.5,0.0445304,0.064928,0.816772
432.6,0.0447225,0.0653208,0.818957
432.7,0.0449148,0.0657147,0.821131
432.8,0.0451074,0.0661098,0.823296
432.9,0.0453002,0.0665059,0.825451
433.0,0.0454932,0.0669031,0.827599
433.1,0.0456865,0.0673014,0.829739
433.2,0.04588,0.0677007,0.831872
